articul,posicion,price_base,price_midl,deviation,percent,price_min,price_max,title
BT-0465,Корзина для теннисных мячей ODEAR BT-0465 черный,2709.82,'2031.5,'678.32,'% 25.03,'1629.0,'2434.0,
BT-1778,Мишень для тренировок по большому теннису BT-1778 оранжевый,916.88,'651.5,'265.38,'% 28.94,'480.0,'823.0,
BC-5764,Напульсник спортивный махровый WLS BC-5764 1шт цвета в ассортименте,40.82,'45.2,'-4.38,'% -10.73,'22.0,'68.4,
BC-5763,Напульсник спортивный махровый YONEX BC-5763 1шт цвета в ассортименте,40.82,'45.5,'-4.68,'% -11.46,'22.0,'69.0,
BC-3881,Напульсник спортивный махровый ZELART BC-3881 1шт цвета в ассортименте,40.82,'46.0,'-5.18,'% -12.69,'22.0,'70.0,
BD-4573,Обмотка на ручку ракетки Grip BABOLAT I LOVE SPORT BD-4573 I LOVE SPORT 60шт разноцветный,20.41,'22.1,'-1.69,'% -8.28,'10.0,'34.2,
670015-145,Обмотка на ручку ракетки Grip BABOLAT SOFT TOUCH 670015-145 1шт черный,715.92,'501.5,'214.41,'% 29.95,'360.0,'643.0,
670017-105,Обмотка на ручку ракетки Grip BABOLAT SYNTEC 670017-105 SYNTEC 1шт черный,565.2,'399.0,'166.2,'% 29.41,'290.0,'508.0,
WRZ486000,"Обмотка на ручку ракетки Grip WILSON PRO HYBRID REPL WRZ486000 1шт, черный",756.74,'518.5,'238.24,'% 31.48,'357.0,'680.0,
WRZ486400,Обмотка на ручку ракетки Grip WILSON PRO HYBRID REPL WRZ486400 1шт белый,756.74,'530.0,'226.74,'% 29.96,'380.0,'680.0,
BD-6372,"Обмотка на ручку ракетки Grip WLS, BBL, DNL BD-6372 1шт цвета в ассортименте",83.21,'74.86,'8.34,'% 10.03,'40.0,'109.72,
BD-5535,Обмотка на ручку ракетки Grip YONEX BD-5535 60шт разноцветный,20.41,'23.1,'-2.69,'% -13.18,'12.0,'34.2,
653013-105,Обмотка на ручку ракетки Overgrip BABOLAT PRO TEAM TACKY 653013-105 3шт черный,645.27,'455.0,'190.27,'% 29.49,'330.0,'580.0,
653014-105,Обмотка на ручку ракетки Overgrip BABOLAT VS 653014-105 3шт черный,645.27,'455.0,'190.27,'% 29.49,'330.0,'580.0,
653014-136,"Обмотка на ручку ракетки Overgrip BABOLAT VS 653014-136 3шт, синий",645.27,'455.0,'190.27,'% 29.49,'330.0,'580.0,
BT-5507,Обмотка на ручку ракетки Overgrip ODEAR BT-5507 12шт цвета в ассортименте,58.09,'72.71,'-14.61,'% -25.17,'30.0,'115.42,
C-1231-C,Статуэтка наградная спортивная Большой теннис C-1231-C,224.51,'166.77,'57.73,'% 25.72,'135.0,'198.55,
C-2688-B11,Статуэтка наградная спортивная Большой теннис женский C-2688-B11,497.69,'356.5,'141.19,'% 28.37,'300.0,'413.0,
C-2669-B11,Статуэтка наградная спортивная Большой теннис мужской C-2669-B11,728.48,'408.0,'320.48,'% 43.99,'305.0,'511.0,
601313,Мяч для большого тенниса DUNLOP ATP 601313 3шт салатовый,631.14,'381.0,'250.14,'% 39.63,'310.0,'452.0,
601354,Мяч для большого тенниса DUNLOP AUSTRALIAN OPEN 601354 3 шт салатовый,580.9,'360.5,'220.39,'% 37.94,'290.0,'431.0,
603110,Мяч для большого тенниса DUNLOP CLUB 603110 3шт салатовый,485.13,'270.5,'214.63,'% 44.24,'196.0,'345.0,
602200,Мяч для большого тенниса DUNLOP PRO TOUR 602200 3шт салатовый,485.13,'278.0,'207.13,'% 42.7,'210.0,'346.0,
602205,Мяч для большого тенниса DUNLOP STAGE 2 ORANGE 602205 3шт салатовый,519.66,'333.5,'186.15,'% 35.82,'260.0,'407.0,
570303,Мяч для большого тенниса HEAD ATP METAL CAN 570303 3шт салатовый,573.04,'341.5,'231.53,'% 40.41,'281.0,'402.0,
570314,Мяч для большого тенниса HEAD ATP METAL CAN 570314 4шт салатовый,712.78,'425.5,'287.27,'% 40.3,'350.0,'501.0,
571034,Мяч для большого тенниса HEAD PRO 571034 4шт салатовый,573.04,'354.5,'218.53,'% 38.14,'281.0,'428.0,
571303,Мяч для большого тенниса HEAD SILVER METAL CAN 571303 3шт салатовый,497.69,'305.5,'192.19,'% 38.62,'260.0,'351.0,
571304,Мяч для большого тенниса HEAD SILVER METAL CAN 571304 4шт салатовый,618.58,'395.5,'223.08,'% 36.06,'357.0,'434.0,
575904,Мяч для большого тенниса HEAD TEAM 575904 4шт салатовый,645.27,'382.0,'263.27,'% 40.8,'305.0,'459.0,
578233,Мяч для большого тенниса HEAD TIP GREEN 578233 3шт салатовый,427.04,'266.0,'161.04,'% 37.71,'209.0,'323.0,
578223,Мяч для большого тенниса HEAD TIP ORANGE 578223 3шт оранжевый-салатовый,427.04,'271.0,'156.04,'% 36.54,'220.0,'322.0,
901-24,Мяч для большого тенниса ODEAR 901-24 24шт салатовый,1095.86,'773.5,'322.35,'% 29.42,'598.0,'949.0,
NO661,Мяч для большого тенниса ODEAR PASTIME NO661 1шт салатовый,50.23,'62.02,'-11.79,'% -23.47,'30.0,'94.05,
T966,Мяч для большого тенниса ODEAR T966 3шт оранжевый-салатовый,163.28,'126.45,'36.83,'% 22.56,'80.0,'172.9,
340884,Мяч для большого тенниса SLAZENGER WIMBLEDON 340884 3шт салатовый,606.02,'371.0,'235.02,'% 38.78,'300.0,'442.0,
T803P3,Мяч для большого тенниса TELOON KNIGHT T803P3 3шт салатовый,191.54,'139.0,'52.53,'% 27.43,'100.0,'178.0,
T801,Мяч для большого тенниса TELOON MASCOT T801 3шт салатовый,147.57,'125.57,'22.0,'% 14.91,'83.0,'168.15,
T801P3,Мяч для большого тенниса TELOON MASCOT T801P3 3шт салатовый,208.81,'152.5,'56.31,'% 26.97,'119.0,'186.0,
WZT828-P3,Мяч для большого тенниса TELOON POUND TOUR WZT828-P3 3шт,318.7,'219.5,'99.19,'% 31.13,'160.0,'279.0,
T616P3,Мяч для большого тенниса TELOON POWER T616P3 3шт салатовый,229.22,'168.5,'60.72,'% 26.49,'138.0,'199.0,
T802,Мяч для большого тенниса TELOON T802 3шт салатовый,279.45,'214.5,'64.94,'% 23.24,'167.0,'262.0,
T878P3-T606P3,Мяч для большого тенниса TELOON X-TOUR T878P3-T606P3 3шт,260.62,'204.5,'56.12,'% 21.53,'155.0,'254.0,
T818P3,Мяч для большого тенниса TELOON Z-TUOR T818P3 3шт салатовый,331.27,'235.0,'96.26,'% 29.06,'188.0,'282.0,
901-12,Мяч для большого тенниса Weilepu 901-12 12шт салатовый,653.12,'536.5,'116.62,'% 17.86,'360.0,'713.0,
T1047,Мяч для большого тенниса WILSON AUSTRALIAN OPEN T1047 3шт салатовый,535.37,'341.0,'194.37,'% 36.31,'268.0,'414.0,
T1130,Мяч для большого тенниса WILSON AUSTRALIAN OPEN T1130 4шт салатовый,712.78,'416.5,'296.27,'% 41.57,'332.0,'501.0,
WRT100101,Мяч для большого тенниса WILSON CHAMPIONSHIP WRT100101 3шт салатовый,507.11,'350.5,'156.61,'% 30.88,'299.0,'402.0,
WRT110000,Мяч для большого тенниса WILSON CHAMPIONSHIP WRT110000 4шт салатовый,678.24,'439.5,'238.74,'% 35.2,'398.0,'481.0,
WRT137400,Мяч для большого тенниса WILSON STARTER PLAY GREEN WRT137400 4шт салатовый,824.25,'483.12,'341.13,'% 41.39,'414.0,'552.25,
WRT109400,Мяч для большого тенниса WILSON TOUR PREMIER WRT109400 3шт салатовый,668.82,'427.0,'241.82,'% 36.16,'388.0,'466.0,
WRT125200,Мяч для большого тенниса WILSON TRINITI WRT125200 3шт салатовый,791.28,'483.08,'308.2,'% 38.95,'436.0,'530.16,
WRT106200,Мяч для большого тенниса WILSON US OPEN WRT106200 3шт салатовый,632.71,'405.0,'227.71,'% 35.99,'358.0,'452.0,
OPEN,Мяч для большого тенниса WILSON US OPEN WRT1162004шт салатовый,824.25,'417.12,'407.13,'% 49.39,'282.0,'552.25,
610,Ракетка для большого тенниса BOSHIKA 610 POWER цвета в ассортименте,1113.13,'776.0,'337.13,'% 30.29,'540.0,'1012.0,
2553-23,Ракетка для большого тенниса TELOON 2553-23 цвета в ассортименте,700.22,'461.0,'239.22,'% 34.16,'423.0,'499.0,
2557-19,Ракетка для большого тенниса TELOON 2557-19 красный,700.22,'489.5,'210.72,'% 30.09,'350.0,'629.0,
BT-5508-19,Ракетка для большого тенниса детская ODEAR BT-5508-19 голубой,653.12,'468.5,'184.62,'% 28.27,'350.0,'587.0,
BT-5508-21,Ракетка для большого тенниса детская ODEAR BT-5508-21 красный,653.12,'475.0,'178.12,'% 27.27,'363.0,'587.0,
BT-5508-23,Ракетка для большого тенниса детская ODEAR BT-5508-23 оранжевый,653.12,'475.0,'178.12,'% 27.27,'363.0,'587.0,
140058-100,Ракетка для большого тенниса юниорская BABOLAT 140058-100 RODDICK JUNIOR 145 голубой,4830.89,'3419.5,'1411.39,'% 29.22,'2500.0,'4339.0,
140059-100,Ракетка для большого тенниса юниорская BABOLAT 140059-100 RODDICK JUNIOR 140 голубой,4364.6,'3135.0,'1229.6,'% 28.17,'2350.0,'3920.0,
140105-146,Ракетка для большого тенниса юниорская BABOLAT 140105-146 RODDICK JUNIOR 145 черный-голубой,4600.1,'3260.5,'1339.6,'% 29.12,'2390.0,'4131.0,
382201,Мяч для сквоша 382201 желтый-EXTRA SLOW 1шт,135.02,'119.95,'15.07,'% 11.16,'86.0,'153.9,
